,coal,lignite,oil,gas
2007-02-01,6.938432122370938,4.625621414913959,42.69781885397411,34.13634643570952
2007-03-01,7.01051972883713,4.673679819224753,44.62580406654343,32.97590406395736
2007-04-01,6.911399269946116,4.607599513297411,47.77641404805914,30.880660892738167
2007-05-01,6.87535546671302,4.583570311142013,48.716894639556365,30.880660892738167
2007-06-01,7.0826073353033205,4.721738223535548,51.9615526802218,30.783957361758823
2007-07-01,7.028541630453677,4.685694420302452,55.206210720887235,30.62278481012658
2007-08-01,7.271837302277075,4.847891534851383,52.102624768946384,31.364178547634904
2007-09-01,7.578209629758388,5.052139753172258,54.97109057301293,31.364178547634904
2007-10-01,8.028757170172085,5.352504780114724,56.758003696857664,33.36271818787475
2007-11-01,8.172932383104468,5.448621588736313,61.13123844731977,34.03964290473017
2007-12-01,8.40721710411959,5.604811402746394,60.47290203327171,35.16785076615589
2008-01-01,8.72260038240918,5.815066921606119,61.17826247689462,37.42426648900732
2008-02-01,9.173147922822876,6.115431948548585,62.777079482439916,38.326832778147896
2008-03-01,8.821720841300193,5.881147227533463,64.79911275415895,39.22939906728847
2008-04-01,8.866775595341563,5.911183730227709,67.15031423290202,41.38911125916056
2008-05-01,9.515564053537286,6.343709369024857,75.75571164510164,42.19497401732178
2008-06-01,11.083469494176953,7.388979662784636,81.49264325323475,43.903403064623575
2008-07-01,12.200827394402923,8.13388492960195,83.09146025878002,47.15908860759493
2008-08-01,13.534448114027466,9.022965409351643,77.91881700554526,48.835283144570276
2008-09-01,15.075320702242312,10.050213801494875,71.24140480591495,50.64041572285142
2008-10-01,14.687849817486532,9.791899878324354,52.52584103512014,53.444818121252496
2008-11-01,13.994006605249439,9.32933773683296,42.50972273567467,53.02576948700865
2008-12-01,12.272915000869114,8.181943333912741,32.352532347504614,51.833092604930044
2009-01-01,13.228075786546153,8.81871719103077,33.01086876155267,47.83601332445036
2009-02-01,13.552470015644015,9.034980010429344,33.66920517560073,45.25725249833444
2009-03-01,12.99379106553103,8.662527377020686,35.97338262476894,42.356146568954024
2009-04-01,12.597309229966978,8.398206153311317,37.901367837338256,35.90924450366422
2009-05-01,12.381046410568402,8.254030940378934,41.569242144177444,33.008138574283805
2009-06-01,12.164783591169828,8.10985572744655,46.694861367837326,31.331944037308457
2009-07-01,11.506984182165828,7.671322788110553,44.954972273567456,28.84988674217188
