,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
3029,Psw Goldisthal,Hydro,Pumped Storage,Store,DE,1060.0,0.75,2003.0,2004.0,2104.0,50.5178,11.0085,7.59433962264151,0.0,0.0,0.0,{'11WD8GOLD1H----6'},"{'ENTSOE': {'11WD8GOLD1H----6'}, 'GEM': {'G601744'}, 'OPSD': {'BNA0350'}, 'JRC': {'JRC-H12'}, 'GEO': {'GEO-44336'}}",4944
3030,Psw Erzhausen,Hydro,Pumped Storage,Store,DE,220.0,0.75,1964.0,1998.0,2098.0,51.8993,9.9243,4.681818181818182,0.0,0.0,0.0,{'11WD2ERZH0002682'},"{'ENTSOE': {'11WD2ERZH0002682'}, 'GEM': {'G601739'}, 'OPSD': {'BNA0558'}, 'JRC': {'JRC-H208'}, 'GEO': {'GEO-44352'}}",4874
3031,Niederaussem,Lignite,Steam Turbine,PP,DE,3094.7014263528577,0.3777750547045952,1963.0,2009.0,2038.0,50.9709,6.6666,,0.0,0.0,0.0,{'11WD7NIED-B-KW-5'},"{'BEYONDCOAL': {'BEYOND-DE-13'}, 'ENTSOE': {'11WD7NIED-B-KW-5'}, 'GEM': {'G107426', 'G107427', 'G107430', 'G107429', 'G107422', 'G107425', 'G107428', 'G107423', 'G107431', 'G107424'}, 'OPSD': {'BNA0705', 'BNA0711', 'BNA0707', 'BNA0706', 'BNA0713', 'BNA0708', 'BNA0712', 'BNA0710', 'BNA0709'}, 'GEO': {'GEO-44319'}}",4714
3032,Schkopau,Lignite,Steam Turbine,CHP,DE,903.697079209118,0.3904,1995.0,1996.0,2034.0,51.3985,11.9504,,0.0,0.0,0.0,{'11WD8SCHK1L----O'},"{'BEYONDCOAL': {'BEYOND-DE-200'}, 'ENTSOE': {'11WD8SCHK1L----O'}, 'GEM': {'G108876', 'G108877'}, 'OPSD': {'BNA0879', 'BNA0878'}, 'GEO': {'GEO-43186'}}",4554
3033,Schwarze Pumpe,Lignite,Steam Turbine,PP,DE,1475.423802790397,0.394,1997.0,1998.0,2038.0,51.5354,14.3538,,0.0,0.0,0.0,{'11WD8SWPU1L----5'},"{'BEYONDCOAL': {'BEYOND-DE-206'}, 'ENTSOE': {'11WD8SWPU1L----5'}, 'GEM': {'G108886', 'G108885'}, 'OPSD': {'BNA0915', 'BNA0914'}, 'GEO': {'GEO-44459'}}",4626
3034,Weisweiler,Lignite,Steam Turbine,PP,DE,1805.5498786647483,0.3280367733213159,1955.0,1975.0,2029.0,50.8332,6.3146,,0.0,0.0,0.0,{'11WD7WEIS-B-KW-C'},"{'BEYONDCOAL': {'BEYOND-DE-81'}, 'ENTSOE': {'11WD7WEIS-B-KW-C'}, 'GEM': {'G110850', 'G110853', 'G110849', 'G110854', 'G110855', 'G110851', 'G110852', 'G110856'}, 'OPSD': {'BNA1028', 'BNA1025', 'BNA1026', 'BNA1027', 'BNA1021', 'BNA1022'}, 'GEO': {'GEO-44318'}}",4690
3035,Koepchenwerk,Hydro,Pumped Storage,Store,DE,162.0,0.75,1989.0,1989.0,2089.0,51.4103,7.4526,3.206060606060606,0.0,0.0,0.0,{'11WD7KOEP2P--KWG'},"{'ENTSOE': {'11WD7KOEP2P--KWG'}, 'GEM': {'G601747'}, 'OPSD': {'BNA0443'}, 'JRC': {'JRC-H291'}, 'GEO': {'GEO-44351'}}",4763
3036,Walheim,Hard Coal,Steam Turbine,PP,DE,246.15716740236755,0.3306,1964.0,1981.0,2026.0,49.0177,9.1577,,0.0,0.0,0.0,{'11WD4WALK5G----E'},"{'BEYONDCOAL': {'BEYOND-DE-227'}, 'ENTSOE': {'11WD4WALK5G----E'}, 'GEM': {'G110699', 'G110698'}, 'OPSD': {'BNA1004'}, 'GPD': {'WRI1075565'}}",4931
3037,Brokdorf,Nuclear,Steam Turbine,PP,DE,1410.0,0.33,1986.0,1986.0,2021.0,53.851095,9.345944,,0.0,0.0,0.0,{'11WD2BRKW000294C'},"{'ENTSOE': {'11WD2BRKW000294C'}, 'OPSD': {'BNA0157'}, 'WIKIPEDIA': {'WIKIPEDIA-16'}, 'GEO': {'GEO-2440'}, 'GPD': {'WRI1005621'}}",5858
3038,Ibbenbueren,Hard Coal,Steam Turbine,PP,DE,772.5831695999401,,1985.0,2009.0,2021.0,52.2888,7.7479,,0.0,0.0,0.0,{'11WD7IBBE2S--KW6'},"{'BEYONDCOAL': {'BEYOND-DE-140'}, 'ENTSOE': {'11WD7IBBE2S--KW6'}, 'GEM': {'G104819'}, 'GEO': {'GEO-44468'}}",4726
